latitud,longitud,rad_2019,rad_2023,delta_historico,cagr_pct,tendencia,zona_expansion,rad_2026,delta_vs_2023_2026,rad_2027,delta_vs_2023_2027,rad_2028,delta_vs_2023_2028,rad_2029,delta_vs_2023_2029,rad_2030,delta_vs_2023_2030,nivel_urbano
-11.86687,-77.01474,36.58,26.57,-10.01,-7.68,decrecimiento,0,17.42,-9.15,14.92,-11.65,12.42,-14.15,9.91,-16.66,7.41,-19.16,peri-urbano
-11.86687,-77.00632,15.08,16.11,1.03,1.659,crecimiento_moderado,0,16.53,0.43,16.79,0.68,17.05,0.94,17.3,1.2,17.56,1.45,peri-urbano
-11.86687,-76.99789,6.07,8.19,2.12,7.76,crecimiento_alto,0,9.75,1.57,10.28,2.09,10.81,2.62,11.34,3.15,11.87,3.68,rural
-11.86687,-76.98947,3.15,4.97,1.82,12.084,crecimiento_alto,0,6.46,1.49,6.91,1.94,7.37,2.4,7.82,2.85,8.28,3.31,rural
-11.86687,-76.98105,2.67,4.12,1.44,11.414,crecimiento_alto,0,5.23,1.11,5.59,1.47,5.95,1.83,6.31,2.19,6.67,2.55,rural
-11.86687,-76.97263,2.65,3.69,1.04,8.624,crecimiento_alto,0,4.58,0.89,4.84,1.15,5.1,1.41,5.36,1.67,5.62,1.93,rural
-11.86687,-76.96421,4.6,4.27,-0.33,-1.819,decrecimiento,0,4.29,0.02,4.21,-0.06,4.13,-0.14,4.05,-0.23,3.97,-0.31,rural
-11.86687,-76.95579,25.84,36.68,10.84,9.153,crecimiento_alto,0,44.08,7.4,46.79,10.11,49.5,12.82,52.21,15.53,54.92,18.24,urbano
-11.86687,-76.94737,16.11,9.15,-6.96,-13.187,decrecimiento,0,5.65,-3.5,3.91,-5.24,2.17,-6.98,0.43,-8.72,0.0,-9.15,rural
-11.86687,-76.93895,2.39,3.16,0.78,7.289,crecimiento_alto,0,3.78,0.62,3.97,0.81,4.17,1.01,4.36,1.2,4.55,1.39,rural
-11.86687,-76.93053,1.49,2.2,0.71,10.259,crecimiento_alto,0,2.57,0.38,2.75,0.56,2.93,0.73,3.11,0.91,3.28,1.09,rural
-11.86687,-76.92211,1.31,1.69,0.38,6.637,crecimiento_alto,0,1.82,0.13,1.92,0.22,2.01,0.32,2.11,0.42,2.2,0.51,rural
-11.86687,-76.91368,1.0,1.2,0.2,4.636,crecimiento_moderado,0,1.24,0.04,1.29,0.09,1.34,0.14,1.39,0.19,1.44,0.24,rural
-11.86687,-76.90526,0.72,1.15,0.43,12.484,crecimiento_alto,0,1.36,0.2,1.46,0.31,1.57,0.42,1.68,0.53,1.79,0.64,rural
-11.86687,-76.89684,0.71,0.96,0.24,7.549,crecimiento_alto,0,1.04,0.09,1.1,0.15,1.16,0.21,1.22,0.27,1.29,0.33,rural
-11.86687,-76.88842,0.74,0.84,0.1,3.376,crecimiento_moderado,0,0.83,-0.01,0.86,0.01,0.89,0.04,0.91,0.07,0.94,0.09,rural
-11.86687,-76.88,0.76,0.73,-0.02,-0.69,estable,0,0.0,-0.73,0.0,-0.73,0.0,-0.73,0.0,-0.73,0.0,-0.73,rural
-11.86687,-76.87158,0.67,0.78,0.11,3.71,crecimiento_moderado,0,0.0,-0.78,0.0,-0.78,0.0,-0.78,0.0,-0.78,0.0,-0.78,rural
-11.86687,-76.86316,0.64,0.75,0.11,4.144,crecimiento_moderado,0,0.0,-0.75,0.0,-0.75,0.0,-0.75,0.0,-0.75,0.0,-0.75,rural
-11.86687,-76.85474,0.7,0.81,0.11,3.692,crecimiento_moderado,0,0.0,-0.81,0.0,-0.81,0.0,-0.81,0.0,-0.81,0.0,-0.81,rural
-11.86687,-76.84632,0.66,0.73,0.07,2.583,crecimiento_moderado,0,0.0,-0.73,0.0,-0.73,0.0,-0.73,0.0,-0.73,0.0,-0.73,rural
-11.86687,-76.83789,0.55,0.66,0.11,4.443,crecimiento_moderado,0,0.0,-0.66,0.0,-0.66,0.0,-0.66,0.0,-0.66,0.0,-0.66,rural
-11.86687,-76.82947,0.0,0.64,0.0,403.554,crecimiento_alto,0,0.0,-0.64,0.0,-0.64,0.0,-0.64,0.0,-0.64,0.0,-0.64,rural
-11.86687,-76.82105,0.0,0.0,0.0,0.0,estable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-11.86687,-76.81263,0.0,0.0,0.0,0.0,estable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-11.86687,-76.80421,0.0,0.52,0.0,377.737,crecimiento_alto,0,0.0,-0.52,0.0,-0.52,0.0,-0.52,0.0,-0.52,0.0,-0.52,rural
-11.8753,-77.2,0.46,0.83,0.36,15.51,crecimiento_alto,0,0.0,-0.83,0.0,-0.83,0.0,-0.83,0.0,-0.83,0.0,-0.83,rural
-11.8753,-77.19158,1.43,3.16,1.74,22.014,crecimiento_alto,0,0.0,-3.16,0.0,-3.16,0.0,-3.16,0.0,-3.16,0.0,-3.16,rural
-11.8753,-77.18316,1.7,2.98,1.28,15.026,crecimiento_alto,0,0.0,-2.98,0.0,-2.98,0.0,-2.98,0.0,-2.98,0.0,-2.98,rural
-11.8753,-77.17474,2.02,2.73,0.7,7.736,crecimiento_alto,0,0.0,-2.73,0.0,-2.73,0.0,-2.73,0.0,-2.73,0.0,-2.73,rural
-11.8753,-77.16632,2.84,4.8,1.96,13.989,crecimiento_alto,0,8.52,3.72,9.01,4.21,9.5,4.7,9.99,5.19,10.48,5.68,rural
-11.8753,-77.15789,5.9,5.69,-0.21,-0.906,estable,0,5.24,-0.45,5.19,-0.5,5.14,-0.55,5.08,-0.6,5.03,-0.66,rural
-11.8753,-77.14947,19.83,19.97,0.14,0.176,estable,0,28.64,8.67,28.68,8.71,28.71,8.74,28.74,8.78,28.78,8.81,peri-urbano
-11.8753,-77.14105,63.88,58.81,-5.07,-2.044,decrecimiento,0,57.89,-0.92,56.62,-2.19,55.35,-3.46,54.09,-4.72,52.82,-5.99,urbano
-11.8753,-77.13263,80.52,81.38,0.87,0.268,estable,0,78.06,-3.33,78.27,-3.11,78.49,-2.89,78.71,-2.68,78.93,-2.46,urbano_denso
-11.8753,-77.12421,27.27,32.15,4.88,4.202,crecimiento_moderado,0,36.03,3.88,37.25,5.1,38.47,6.32,39.69,7.54,40.91,8.76,urbano
-11.8753,-77.11579,15.82,21.84,6.02,8.401,crecimiento_alto,0,29.57,7.73,31.08,9.24,32.58,10.74,34.09,12.25,35.59,13.75,peri-urbano
-11.8753,-77.10737,23.7,32.68,8.98,8.359,crecimiento_alto,0,37.14,4.46,39.38,6.7,41.63,8.95,43.87,11.19,46.12,13.44,urbano
-11.8753,-77.09895,16.52,22.43,5.91,7.949,crecimiento_alto,0,25.76,3.33,27.24,4.81,28.72,6.29,30.19,7.76,31.67,9.24,peri-urbano
-11.8753,-77.09053,14.9,19.59,4.69,7.088,crecimiento_alto,0,21.96,2.37,23.14,3.55,24.31,4.72,25.48,5.89,26.66,7.07,peri-urbano
-11.8753,-77.08211,58.21,46.89,-11.32,-5.261,decrecimiento,0,34.53,-12.37,31.7,-15.19,28.87,-18.02,26.04,-20.85,23.21,-23.68,urbano
-11.8753,-77.07368,67.76,71.53,3.77,1.363,crecimiento_moderado,0,70.98,-0.55,71.92,0.39,72.87,1.34,73.81,2.28,74.75,3.22,urbano_denso
